NAME	NES_6H	FDR_6H	NES_24H	FDR_24H
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	2.0438893	0.02931452	1.7413718	0.064793855
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	2.0344312	0.01762992	1.8535976	0.020117836
REACTOME_ARACHIDONIC_ACID_METABOLISM	1.915977	0.08518416	1.8243803	0.024219643
REACTOME_EPHRIN_SIGNALING	1.880113	0.10651596	1.678977	0.105112284
REACTOME_ENDOGENOUS_STEROLS	1.8523526	0.12410979	1.7675973	0.04903163
REACTOME_XENOBIOTICS	1.8092176	0.178657	1.5873816	0.23547025
REACTOME_BIOLOGICAL_OXIDATIONS	1.8009236	0.16985111	1.4072721	0.49282306
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	1.7845331	0.18122299	1.3165821	0.6551992
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	1.7035472	0.39917424	1.5165133	0.31822467
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	1.6958911	0.390209	1.425102	0.46484354
REACTOME_UREA_CYCLE	1.6633446	0.49266297	1.1677103	0.85620296
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	1.6591994	0.4704186	1.525355	0.31393752
REACTOME_ATTENUATION_PHASE	1.6560584	0.44733953	1.2944278	0.67809033
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	1.6546916	0.42134553	1.5464393	0.29106417
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION	1.6408807	0.44834107	1.5976664	0.22078228
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	1.637593	0.43331182	1.6346375	0.15453158
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	1.6328318	0.42688632	1.567873	0.29017162
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.6102217	0.49695104	1.7750417	0.048407152
