NAME	NES_6H	FDR_6H	NES_24H	FDR_24H	NES_48H	FDR_48H	NES_96H	FDR_96H
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	2.0648198	0.004014456	1.7324424	0.24319881	1.8190832	0.018204752	1.7831336	0.035025656
REACTOME_ARACHIDONIC_ACID_METABOLISM	2.0031664	0.009649065	1.8066107	0.2632045	1.5875721	0.22570862	1.621012	0.11576674
REACTOME_ENDOGENOUS_STEROLS	1.9529599	0.017063018	1.5956265	0.841791	1.6326629	0.15157606	1.5834965	0.14684968
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	1.9169347	0.025842989	1.5768842	0.7640792	1.5431476	0.26356667	1.4132766	0.3128401
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	1.7567708	0.26200363	1.3589969	0.92424786	1.5510406	0.25966865	1.8864903	0.010817927
REACTOME_XENOBIOTICS	1.7073723	0.40744624	1.4733483	0.752787	1.4884907	0.35510746	1.575426	0.15310727
REACTOME_POTASSIUM_CHANNELS	1.685903	0.45184606	1.4695193	0.7330305	1.3692216	0.51848406	1.4129894	0.31149134
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	1.6785307	0.43085554	1.4461203	0.7837573	1.3764616	0.5167164	1.3997307	0.32002473
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	1.6775621	0.38716802	1.4218417	0.8476875	1.3161029	0.57568526	1.1546296	0.52162594
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING	1.6521875	0.461291	1.343299	0.8871606	1.1924082	0.72324324	1.1717017	0.5131244
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	1.630014	0.53294575	1.5439526	0.6363407	1.4924309	0.34812868	1.6551615	0.09703877
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	1.628229	0.49757028	1.3354546	0.8856437	1.3258265	0.57053304	-0.6792368	1.0
REACTOME_GPCR_LIGAND_BINDING	1.6203119	0.49841392	1.7937633	0.11224276	1.7825295	0.024577351	1.7762753	0.035677444
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1.6176416	0.4756919	1.2308172	0.9597205	0.9650602	0.95986277	1.0484555	0.64614284
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	1.6077963	0.48971114	0.87333524	1.0	0.8254008	0.9973048	-0.90045863	0.8325211
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	1.5908946	0.5407751	1.5335485	0.6136527	1.5372862	0.27455428	1.5632654	0.15510303
REACTOME_REPRESSION_OF_WNT_TARGET_GENES	1.5856287	0.53508556	0.59408575	1.0	-0.70685226	0.954992	1.1346617	0.5373281
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	1.5795641	0.5355898	1.5684988	0.7098503	1.4194072	0.44313535	1.4282585	0.297334
REACTOME_BIOLOGICAL_OXIDATIONS	1.575318	0.5274801	1.369202	0.9040945	1.3746845	0.5182871	1.1907433	0.48630404
REACTOME_SIGNALING_BY_PDGF	1.5677512	0.53770715	1.323555	0.8567905	1.4374491	0.42727	1.7648348	0.038602952
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS	1.5308651	0.7107218	1.2151108	0.9368423	1.3694311	0.52267265	1.3634615	0.3580257
REACTOME_GLYCOGEN_SYNTHESIS	1.5296677	0.6855209	1.516228	0.59501827	1.170724	0.76631075	1.3483577	0.36915338
REACTOME_P2Y_RECEPTORS	1.5246525	0.68394667	1.2021028	0.950928	1.3934269	0.47485077	-0.6567053	0.99546295
